accuracy,loss,val_accuracy,val_loss,learning_rate
0.5553954839706421,0.6822890639305115,0.5181451439857483,0.8466902375221252,0.0005000000237487257
0.5347932577133179,0.6997352838516235,0.5917338728904724,0.6706752181053162,0.0005000000237487257
0.6084137558937073,0.6638333201408386,0.5362903475761414,0.6855183243751526,0.0005000000237487257
0.6111511588096619,0.6610363721847534,0.6915322542190552,0.6161917448043823,0.0005000000237487257
0.5915573835372925,0.6740330457687378,0.6280242204666138,0.645900547504425,0.0005000000237487257
0.589540421962738,0.6634334325790405,0.5947580933570862,0.6763907670974731,0.0005000000237487257
0.5934303402900696,0.6694276332855225,0.5957661271095276,0.6666830778121948,0.0002500000118743628
0.6380925178527832,0.6440227627754211,0.6895161271095276,0.6069687008857727,0.0002500000118743628
0.7197810411453247,0.579103946685791,0.6844757795333862,0.5848018527030945,0.0002500000118743628
0.723094642162323,0.5726953744888306,0.7268145084381104,0.5328531861305237,0.0002500000118743628
