accuracy,loss,val_accuracy,val_loss,learning_rate
0.5540988445281982,0.6821653246879578,0.5655242204666138,0.6877079606056213,9.999999747378752e-05
0.6745425462722778,0.6093453764915466,0.7540322542190552,0.520045816898346,9.999999747378752e-05
0.7475867867469788,0.5294585227966309,0.7106854915618896,0.5509476661682129,9.999999747378752e-05
0.7764011025428772,0.4945543110370636,0.7913306355476379,0.4799196124076843,9.999999747378752e-05
0.8102579116821289,0.441012978553772,0.7651209831237793,0.5257041454315186,9.999999747378752e-05
0.8217836022377014,0.41554081439971924,0.8094757795333862,0.40904301404953003,9.999999747378752e-05
0.8425298929214478,0.38834455609321594,0.7822580933570862,0.4991302192211151,9.999999747378752e-05
0.8550640940666199,0.35750943422317505,0.7933467626571655,0.43737518787384033,9.999999747378752e-05
0.8781155347824097,0.315025269985199,0.8145161271095276,0.391651451587677,4.999999873689376e-05
0.8809970021247864,0.30068930983543396,0.8145161271095276,0.4316112697124481,4.999999873689376e-05
